appln_id;appln_auth;appln_nr;appln_kind;appln_filing_date;appln_filing_year;appln_nr_epodoc;appln_nr_original;ipr_type;receiving_office;internat_appln_id;int_phase;reg_phase;nat_phase;earliest_filing_date;earliest_filing_year;earliest_filing_id;earliest_publn_date;earliest_publn_year;earliest_pat_publn_id;granted;docdb_family_id;inpadoc_family_id;docdb_family_size;nb_citing_docdb_fam;nb_applicants;nb_inventors
441409842;"CA";"2892849";"A ";2013-12-04;2013;"CA20132892849";"2892849";"PI";"  ";413979607;"Y";"N";"Y";2012-12-07;2012;381150530;2014-06-12;2014;441226896;"N";49886962;381150530;16;2;1;2
20934670;"WO";"2006000616";"W ";2006-03-21;2006;"WO2006FR00616";"FR2006/000616";"PI";"FR";0;"Y";"N";"N";2005-03-22;2005;19089769;2006-09-28;2006;281047953;"N";35266731;2744929;13;23;3;2
49366;"WO";"2007002055";"W ";2007-12-12;2007;"WO2007FR02055";"FR2007/002055";"PI";"FR";0;"Y";"N";"N";2006-12-14;2006;19119810;2008-07-31;2008;49367;"N";37890311;49366;6;7;5;4
521183224;"PL";"08845379";"T ";2008-08-14;2008;"PL20080845379T";"";"PI";"  ";56626681;"Y";"Y";"Y";2007-08-31;2007;19125835;2011-11-30;2011;521183225;"Y";39186988;19125835;12;13;1;2
19130688;"FR";"0754908";"A ";2007-05-07;2007;"FR20070054908";"0754908";"PI";"  ";0;"N";"N";"Y";2007-05-07;2007;19130688;2008-11-14;2008;55857252;"Y";38820234;19130688;12;10;1;2
445532725;"US";"201314648874";"A ";2013-12-04;2013;"US201314648874";"14648874";"PI";"  ";413979608;"Y";"N";"Y";2012-12-07;2012;381150530;2015-10-22;2015;445532726;"Y";49886962;381150530;16;2;1;2
425016237;"JP";"2014182037";"A ";2014-09-08;2014;"JP20140182037";"2014182037";"PI";"  ";0;"N";"N";"Y";2007-10-12;2007;19126659;2014-12-11;2014;424612234;"N";39267773;19126659;12;27;1;3
381150532;"FR";"1261758";"A ";2012-12-07;2012;"FR20120061758";"1261758";"PI";"  ";0;"N";"N";"Y";2012-12-07;2012;381150532;2014-06-13;2014;418611369;"Y";47714356;381150530;1;0;1;2
405962392;"BR";"PI0714530";"A ";2007-08-02;2007;"BR2007PI14530";"PI0714530";"PI";"  ";20939102;"Y";"N";"Y";2006-08-21;2006;19110797;2013-04-30;2013;407882166;"Y";37663186;19110797;12;15;1;2
449672078;"MX";"2015007174";"A ";2013-12-04;2013;"MX20150007174";"2015007174";"PI";"  ";413979607;"Y";"N";"Y";2012-12-07;2012;381150530;2015-10-20;2015;449672079;"Y";49886962;381150530;16;2;1;2
273550282;"AU";"2008263740";"A ";2008-05-07;2008;"AU20080263740";"2008263740";"PI";"  ";55179915;"Y";"N";"Y";2007-05-07;2007;19130688;2008-12-18;2008;276981743;"Y";38820234;19130688;12;10;1;2
56224356;"EP";"07823392";"A ";2007-08-02;2007;"EP20070823392";"07823392";"PI";"  ";20939102;"Y";"Y";"N";2006-08-21;2006;19110797;2009-06-10;2009;278806188;"Y";37663186;19110797;12;15;1;2
322434300;"CN";"200880111172";"A ";2008-09-26;2008;"CN200880111172";"200880111172";"PI";"  ";55758786;"Y";"N";"Y";2007-10-12;2007;19126659;2010-09-01;2010;324033162;"N";39267773;19126659;12;27;1;3
328952664;"MX";"2010003883";"A ";2008-09-30;2008;"MX20100003883";"2010003883";"PI";"  ";55754280;"Y";"N";"Y";2007-10-12;2007;19126658;2010-08-02;2010;333819774;"Y";39267811;19126658;5;4;1;3
